X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8231935.8589652,4960997.68037302,1628902,Queen Deli Kitchen Inc,3023 Church Ave,,Brooklyn,NY,11226,4209,KINGS,Convenience Store,40.650986,-73.948738,,,1124
-8233128.31335058,4961246.67680765,1640385,Best Farm Brooklyn Inc,818 Flatbush Ave,,Brooklyn,NY,11226,3102,KINGS,Grocery Store,40.652683,-73.95945,,,1126
-8233039.14643845,4959968.89482568,1640377,Rincon Deli Grocery Corp,2101 Cortelyou Rd,,Brooklyn,NY,11226,6005,KINGS,Convenience Store,40.643974,-73.958649,,,1128
-8772498.51951923,5285954.97191145,1410906,7 Eleven 40250a,1329 Abbott Rd,,Buffalo,NY,14218,1909,ERIE,Convenience Store,42.828835,-78.804695,,,1136
-8237943.77188331,4972414.00991821,1384153,Soho #4 Way Deli Grocery Corp,251 6th Ave,,New York,NY,10014,4701,NEW YORK,Convenience Store,40.728748,-74.002708,,,1206
-8233047.60671975,4961015.58090721,1626911,Adam Deli Grocery Ii Corp.,863 Flatbush Ave,,Brooklyn,NY,11226,3105,KINGS,Convenience Store,40.651108,-73.958725,,,1221
-8356997.07297996,5497397.66184133,241088,U-B'S MERCANTILE,3386 State Highway 3,,Oswegatchie,NY,13670,3151,ST LAWRENCE,Convenience Store,44.206135,-75.072182,,,1223
-8447436.47820463,5177130.71076498,1631874,East Side Gourmet Deli Corp,216 Robinson St,,Binghamton,NY,13904,1622,BROOME,Convenience Store,42.107731,-75.884613,,,1225
-8231913.81770602,4984229.3101884,1630356,125 Healthy Harvest And Organic Market Corp.,205 W 125th St,,New York,NY,10027,4408,NEW YORK,Convenience Store,40.809132,-73.94854,,,1233
-8231663.23753224,4984552.4386203,1640510,Clayton Deli Corp,2175 Adam Clayton Powell Jr Blvd,,New York,NY,10027,3028,NEW YORK,Grocery Store,40.811329,-73.946289,,,1239
-8752864.43301108,5276666.65106659,1632550,C39 Ea,175 Main St,,East Aurora,NY,14052,1632,ERIE,Convenience Store,42.767612,-78.628319,,,1242
-8789480.30783975,5311446.43210561,1344424,7-Eleven 35181K,1787 Love Rd,,Grand Island,NY,14072,2205,ERIE,Convenience Store,42.996548,-78.957245,,,1244
-8223222.10318437,4963364.35619206,1632446,2526 Empire Food Discount Incorporated,2526 Linden Blvd,,Brooklyn,NY,11208,4918,KINGS,Other,40.667114,-73.870461,,,1246
-8644041.8383963,5332863.20166344,1630885,At The Corner Stone Market And Shops,398 Thurston Rd,,Rochester,NY,14619,1540,MONROE,Grocery Store,43.1371,-77.650749,,,1248
-8636691.18978024,5339963.79856215,1626663,Pk Grocery & Food Mart Inc,984 Portland Ave,,Rochester,NY,14621,4159,MONROE,Convenience Store,43.183628,-77.584717,,,1250
-8556236.1410043,5173462.85894233,1631075,Smileys Quick Stop 1,1857 W Water St,,Elmira,NY,14905,1852,CHEMUNG,Convenience Store,42.083282,-76.861977,,,1256
-8229044.8917893,4974132.26683169,1629033,El Molino Carniceria,4204 Greenpoint Ave,,Sunnyside,NY,11104,3004,QUEENS,Convenience Store,40.740444,-73.922768,,,1360
-8218627.27988239,4995486.42850144,1631795,Bob Marley Grocery Corp,4063 Boston Rd,,Bronx,NY,10466,6191,BRONX,Grocery Store,40.885628,-73.829185,,,1361
-8227659.63204587,4990552.62880813,1632103,1975 In & Out Deli Corp,19 W Tremont Ave,,Bronx,NY,10453,5401,BRONX,Convenience Store,40.852112,-73.910324,,,1372
-8224370.25241242,4994986.98775234,1636275,Abdo Grocery Corp,16B E Gun Hill Rd,,Bronx,NY,10467,2102,BRONX,Other,40.882236,-73.880775,,,1373
-8239542.20845161,4959642.61690976,1641587,Green Village Supermarket,241-243 Utica Ave,,Brooklyn,NY,11213,3932,KINGS,Supermarket,40.64175,-74.017067,,,1374
-8259945.84659962,5063194.5984726,1634298,Meitiv Wholesale Inc,1017 State Route 17m,,Monroe,NY,10950,1626,ORANGE,Super Store,41.343864,-74.200356,,,1375
-8228910.6404834,5055459.91295643,1627746,920 Latin Deli Grocery Corp,916 Main St,#920,Peekskill,NY,10566,2966,WESTCHESTER,Grocery Store,41.291679,-73.921562,,,1376
-8229462.67383824,4976324.45254479,1421642,Taco Deli Spot Corp,3411 36th Ave,,Astoria,NY,11106,1340,QUEENS,Convenience Store,40.755363,-73.926521,,,1377
-8231847.582609,5281442.48832713,1642074,US Food Mart Deli & Grocery Inc,952 Crane St,,Schenectady,NY,12303,1141,SCHENECTADY,Convenience Store,42.799099,-73.947945,,,1378
-8486329.39321747,5319349.95030634,959532,Green Planet Grocery,3514 W. Genesee St,,Syracuse,NY,13219,    ,ONONDAGA,Grocery Store,43.048454,-76.233994,,,1379
-8230588.8931266,5276944.9107666,1642887,Dollar General 30563,2945 Hamburg St Route 146,,Schenectady,NY,12303,    ,SCHENECTADY,Other,42.769447,-73.936638,,,1380
-8224805.95689938,4991516.05155319,1631078,601 E Fordham Petro Llc 601,601 E Fordham Rd,,Bronx,NY,10458,5047,BRONX,Convenience Store,40.858658,-73.884689,,,1428
-8230440.28160639,4982988.37289166,1640908,C Jay Grocery Inc.,2371 2nd Ave,,New York,NY,10035,3109,NEW YORK,Convenience Store,40.800694,-73.935303,,,1440
-8230679.72983109,4983057.34239299,1628312,Organic Mini Market 1 Corp.,203 E 121st St,,New York,NY,10035,3051,NEW YORK,Convenience Store,40.801163,-73.937454,,,1443
-8229520.44865397,4991801.29946722,1625970,99› More or Less / Deals & Discounts,115 Nagle Ave,,New York,NY,10040,1402,NEW YORK,Grocery Store,40.860596,-73.92704,,,1444
-8231229.20283764,4982895.13984147,1625624,America Deli Mini Market Corp,1663 Park Ave,,New York,NY,10035,4635,NEW YORK,Grocery Store,40.80006,-73.94239,,,1446
-8606756.71078898,5211510.06434183,1631477,Hatfields,113 Gansevoort St,,Bath,NY,14810,1305,STEUBEN,Convenience Store,42.336437,-77.315811,,,1449
-8221006.17740064,4987406.34637278,1634030,Easy Stop Shop,1134 Castle Hill Ave,,Bronx,NY,10462,4801,BRONX,Convenience Store,40.83073,-73.850555,,,1453
-8227477.06808097,4966175.82084152,1630291,Nature Food Market Corp,100 Cooper St,,Brooklyn,NY,11207,1430,KINGS,Convenience Store,40.686268,-73.908684,,,1454
-8222734.5238147,4976355.31328433,1393077,Aaa Plus Deli & Grill Inc,10202 34th Ave,,Corona,NY,11368,1115,QUEENS,Convenience Store,40.755573,-73.866081,,,1456
-8229963.8341858,4963535.77458041,1638057,Fresh And Fancy Corp,285 Utica Ave,,Brooklyn,NY,11213,4940,KINGS,Other,40.668282,-73.931023,,,1457
