fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
1625339,Ely Mouna Inc,Convenience Store,3925 White Plains Rd,Bronx,Bronx,10466,BRONX,NY,40.886559,-73.861389
1626312,Eat Good Group Inc,Grocery Store,5816 7th Ave,Brooklyn,Brooklyn,11220,KINGS,NY,40.637707,-74.011063
1632510,Lianjiang Inc.,Grocery Store,5005 8th Ave,Brooklyn,Brooklyn,11220,KINGS,NY,40.640873,-74.003761
1631240,Quick Stop Convenience And Deli Inc,Convenience Store,1452 Myrtle Ave,Brooklyn,Brooklyn,11237,KINGS,NY,40.698875,-73.916725
1640361,Salcedo Supermarket Corp,Grocery Store,1318 Lafayette Ave,Bronx,Bronx,10474,BRONX,NY,40.816769,-73.886253
737275,HUNG KEE FOOD MARKET INC,Specialty Store,214 Canal St,New York,Manhattan,10013,NEW YORK,NY,40.71714,-73.999123
1626907,174 Day & Night Deli Grocery Corp,Convenience Store,985 E 174th St,Bronx,Bronx,10460,BRONX,NY,40.836514,-73.884796
1626496,Hoy Yao Mini Store Inc.,Convenience Store,323 Avenue X,Brooklyn,Brooklyn,11223,KINGS,NY,40.590595,-73.970963
1635789,Golden Citrus Market Inc,Grocery Store,752 Flatbush Ave,Brooklyn,Brooklyn,11226,KINGS,NY,40.654522,-73.959808
1264521,Baku Bakery,Convenience Store,1903 Avenue U,Brooklyn,Brooklyn,11229,KINGS,NY,40.599407,-73.9524
1625211,Mila Deli & Grocery Corp 1,Convenience Store,684 E 189th St,Bronx,Bronx,10458,BRONX,NY,40.856159,-73.883766
1630335,Taft Deli Corp,Other,1679 Madison Ave,New York,Manhattan,10029,NEW YORK,NY,40.796944,-73.946892
1627543,Preferred Pharmacy,Convenience Store,3 E 115th St,New York,Manhattan,10029,NEW YORK,NY,40.799862,-73.946373
325581,B & A PORK STORE INC,Grocery Store,7818 13th Ave,Brooklyn,Brooklyn,11228,KINGS,NY,40.618282,-74.00975
1630650,2022 Gourmet Deli I Inc,Convenience Store,1142 Stanley Ave,Brooklyn,Brooklyn,11208,KINGS,NY,40.66539,-73.867302
1630955,1092 Liberty Deli Inc,Convenience Store,1092 Liberty Ave,Brooklyn,Brooklyn,11208,KINGS,NY,40.678364,-73.869026
1670328,Sjb Deli Grocery Corp.,Convenience Store,1291 Clay Ave,Bronx,Bronx,10456,BRONX,NY,40.834339,-73.909637
1669403,Infante Grocery,Grocery Store,342 Jefferson St,Brooklyn,Brooklyn,11237,KINGS,NY,40.705051,-73.925385
1640938,Bbc Deli Grocery Corp,Convenience Store,51 E Tremont Ave,Bronx,Bronx,10453,BRONX,NY,40.851376,-73.908218
1303492,Saal Deli & Grocery,Convenience Store,303 Gordon St,Staten Island,Staten Island,10304,RICHMOND,NY,40.61961,-74.083458
1640488,Golden Produce Llc,Grocery Store,364 E 204th St,Bronx,Bronx,10467,BRONX,NY,40.871624,-73.877487
1627758,Barnes Avenue Deli Grocery Inc,Convenience Store,3868 Barnes Ave,Bronx,Bronx,10467,BRONX,NY,40.884583,-73.858757
1630114,BX 23 Deli Food,Convenience Store,1584 University Ave,Bronx,Bronx,10453,BRONX,NY,40.846676,-73.920479
1627427,El Poblanito Meat Market Corp.,Grocery Store,657A Allerton Ave,Bronx,Bronx,10467,BRONX,NY,40.865559,-73.868881
1396797,Philippine Famous Food Mart,Grocery Store,170-14 Hillside Ave,Jamaica,Queens,11432,QUEENS,NY,40.711121,-73.791451
1626620,King Merrick Deli,Convenience Store,119-02 Merrick Blvd,Jamaica,Queens,11434,QUEENS,NY,40.685642,-73.773201
1631998,Ave J Juice Bar Deli Corp,Other,1348 Coney Island Ave,Brooklyn,Brooklyn,11230,KINGS,NY,40.624573,-73.96534
1633230,L & N Minimarket Inc.,Convenience Store,15502 107th Ave,Jamaica,Queens,11433,QUEENS,NY,40.695629,-73.798119
1640358,Buckler Pharmacy Inc,Other,1039 Broadway,Brooklyn,Brooklyn,11221,KINGS,NY,40.695354,-73.932083
